ppm Intensity
1.064089945884080102e+01 -3.133912049966163067e+03
1.064053278192074004e+01 -3.267893096965931363e+03
1.064016610500067905e+01 -3.545873946303217053e+03
1.063979942808061807e+01 -3.125597773995268653e+03
1.063943275116055709e+01 -3.166856352981124473e+03
1.063906607424049611e+01 -3.519559676468779799e+03
1.063869939732043512e+01 -3.271838241007788383e+03
1.063833272040037414e+01 -3.571628295656123100e+03
1.063796604348031316e+01 -2.724533093460757300e+03
1.063759936656025218e+01 -3.200811489584003084e+03
1.063723268964019120e+01 -2.914204898583090198e+03
1.063686601272013021e+01 -3.706625853414846461e+03
1.063649933580006923e+01 -2.870583421434965203e+03
1.063613265888000825e+01 -3.343720175714693141e+03
1.063576598195994727e+01 -3.464639752034375306e+03
1.063539930503988629e+01 -3.131242589819532441e+03
1.063503262811982530e+01 -3.567858596295287498e+03
1.063466595119976432e+01 -3.811149880185491384e+03
1.063429927427970334e+01 -3.065705255249145921e+03
1.063393259735964236e+01 -3.279502855958970940e+03
1.063356592043958138e+01 -2.659909272502457497e+03
1.063319924351952039e+01 -3.408584518731083790e+03
1.063283256659945941e+01 -2.382109740626704934e+03
1.063246588967939843e+01 -3.081350716259864384e+03
1.063209921275933745e+01 -3.313809937704534605e+03
1.063173253583927647e+01 -3.091094710884775850e+03
1.063136585891921548e+01 -3.285606155733318701e+03
1.063099918199915450e+01 -3.474876967019409676e+03
1.063063250507909352e+01 -3.293250233613400269e+03
1.063026582815903254e+01 -3.195375838278594074e+03
1.062989915123897156e+01 -3.132953067215162264e+03
1.062953247431891057e+01 -2.875377599289932277e+03
1.062916579739884959e+01 -3.235038913686518754e+03
1.062879912047878861e+01 -3.439279330700511764e+03
1.062843244355872763e+01 -3.168181178952444043e+03
1.062806576663866664e+01 -3.214455568555546051e+03
1.062769908971860566e+01 -3.050933614806738206e+03
1.062733241279854468e+01 -3.072743982685860374e+03
1.062696573587848370e+01 -3.338242487153445381e+03
1.062659905895842272e+01 -2.651219424776632877e+03
1.062623238203836173e+01 -3.146248655157391113e+03
1.062586570511830075e+01 -3.103697802370243608e+03
1.062549902819823977e+01 -3.310339997415417656e+03
1.062513235127817879e+01 -2.744088447015250949e+03
1.062476567435811781e+01 -3.048391852320210546e+03
1.062439899743805682e+01 -2.990126449043650609e+03
1.062403232051799584e+01 -3.331999302364346477e+03
1.062366564359793486e+01 -2.707959097217267299e+03
1.062329896667787388e+01 -3.286576371517367079e+03
1.062293228975781290e+01 -3.164876613432591512e+03
1.062256561283775191e+01 -2.775172873615455501e+03
1.062219893591769093e+01 -2.867537275412755207e+03
1.062183225899762995e+01 -3.172042669180899793e+03
1.062146558207756897e+01 -2.951904197372884937e+03
1.062109890515750799e+01 -3.074152470335180624e+03
1.062073222823744700e+01 -2.446196270704704148e+03
1.062036555131738602e+01 -2.883801196099343542e+03
1.061999887439732504e+01 -2.830780520675210482e+03
1.061963219747726406e+01 -3.213579007141649527e+03
1.061926552055720308e+01 -2.529870379293669430e+03
1.061889884363714209e+01 -3.108048236882127640e+03
1.061853216671708111e+01 -3.088668610278078177e+03
1.061816548979702013e+01 -3.704465834103520592e+03
1.061779881287695915e+01 -3.166074487936793503e+03
1.061743213595689816e+01 -3.183818358985184204e+03
1.061706545903683718e+01 -3.288434866867626624e+03
1.061669878211677620e+01 -3.135581948273656053e+03
1.061633210519671522e+01 -2.861309738182959336e+03
1.061596542827665424e+01 -3.318034508131201619e+03
1.061559875135659325e+01 -2.637260956502387216e+03
1.061523207443653227e+01 -2.693530574241940485e+03
1.061486539751647129e+01 -3.039057754437488256e+03
1.061449872059641031e+01 -1.866052768418094729e+03
1.061413204367634933e+01 -2.978039428201339433e+03
1.061376536675628834e+01 -3.228395404770822097e+03
1.061339868983622736e+01 -2.980242244995232340e+03
1.061303201291616638e+01 -2.112473272664559317e+03
1.061266533599610540e+01 -3.147194901737829241e+03
1.061229865907604442e+01 -2.794531956432862899e+03
1.061193198215598343e+01 -2.935316620186717500e+03
1.061156530523592245e+01 -3.064230010714313266e+03
1.061119862831586147e+01 -2.775724410137476298e+03
1.061083195139580049e+01 -2.648079299810172415e+03
1.061046527447573951e+01 -3.081497567886048273e+03
1.061009859755567852e+01 -2.872573719617471397e+03
1.060973192063561754e+01 -2.892161566172263520e+03
1.060936524371555656e+01 -3.385009042071358635e+03
1.060899856679549558e+01 -3.177898072470437910e+03
1.060863188987543460e+01 -2.999509328130821359e+03
1.060826521295537361e+01 -2.497182010749657820e+03
1.060789853603531263e+01 -2.939309777678901810e+03
1.060753185911525165e+01 -2.642047659727690188e+03
1.060716518219519067e+01 -3.097577045154489497e+03
1.060679850527512968e+01 -2.896772796049293447e+03
1.060643182835506870e+01 -2.627926255338271403e+03
1.060606515143500772e+01 -2.667647117612782495e+03
1.060569847451494674e+01 -3.185219501911318275e+03
1.060533179759488576e+01 -2.507595791864642251e+03
1.060496512067482477e+01 -2.746192793791100939e+03
1.060459844375476379e+01 -2.432782100451622682e+03
1.060423176683470281e+01 -2.737527785068071807e+03
1.060386508991464183e+01 -2.256904115750386609e+03
1.060349841299458085e+01 -2.652417408886232806e+03
1.060313173607451986e+01 -3.296799997090228317e+03
1.060276505915445888e+01 -2.761318144796759043e+03
1.060239838223439790e+01 -3.157136508164562656e+03
1.060203170531433692e+01 -2.590513015817439737e+03
1.060166502839427594e+01 -2.506581916149857079e+03
1.060129835147421495e+01 -2.414004689490209330e+03
1.060093167455415397e+01 -2.955110963576551512e+03
1.060056499763409299e+01 -3.077577185742982238e+03
1.060019832071403201e+01 -2.579426392875914644e+03
1.059983164379397103e+01 -2.430782241010389043e+03
1.059946496687391004e+01 -2.930004106918146590e+03
1.059909828995384906e+01 -2.798336134186484287e+03
1.059873161303378808e+01 -3.015356073453813224e+03
1.059836493611372710e+01 -2.371303582911869853e+03
1.059799825919366612e+01 -2.782195910513917170e+03
1.059763158227360513e+01 -3.127497268765312583e+03
1.059726490535354415e+01 -2.475997813488488191e+03
1.059689822843348317e+01 -2.690831685226641639e+03
1.059653155151342219e+01 -2.257135070418741634e+03
1.059616487459336120e+01 -3.044261667712157760e+03
1.059579819767330022e+01 -3.193321408705628528e+03
1.059543152075323924e+01 -2.173818488067362523e+03
1.059506484383317826e+01 -2.778585328630117601e+03
1.059469816691311728e+01 -3.583609331475528961e+03
1.059433148999305629e+01 -2.389334899150698220e+03
1.059396481307299531e+01 -1.946558611271260816e+03
1.059359813615293433e+01 -2.377450475732493942e+03
1.059323145923287335e+01 -2.750456903321015488e+03
1.059286478231281237e+01 -2.739871776403839704e+03
1.059249810539275138e+01 -3.537647648507235772e+03
1.059213142847269040e+01 -3.214899833014215801e+03
1.059176475155262942e+01 -2.705141633575836750e+03
1.059139807463256844e+01 -3.140422573832719536e+03
1.059103139771250746e+01 -2.732754369213073460e+03
1.059066472079244647e+01 -3.192781919707077577e+03
1.059029804387238549e+01 -2.806071976252109380e+03
1.058993136695232451e+01 -2.801118507390696777e+03
1.058956469003226353e+01 -3.292765467325188638e+03
1.058919801311220255e+01 -2.352619130394405602e+03
1.058883133619214156e+01 -2.565422922349522196e+03
1.058846465927208058e+01 -2.566486134292260886e+03
1.058809798235201960e+01 -2.790447110483652978e+03
1.058773130543195862e+01 -1.954440351883757103e+03
1.058736462851189764e+01 -2.117298882535833400e+03
1.058699795159183665e+01 -2.448046825091748360e+03
1.058663127467177567e+01 -2.667422646557454300e+03
1.058626459775171469e+01 -2.362937123213139785e+03
1.058589792083165371e+01 -2.701281482378282817e+03
1.058553124391159272e+01 -3.475895579072910550e+03
1.058516456699153174e+01 -2.278649244289075796e+03
1.058479789007147076e+01 -1.760989189673381588e+03
1.058443121315140978e+01 -2.357642215314101122e+03
1.058406453623134880e+01 -2.615734227046170872e+03
1.058369785931128781e+01 -2.648726622576821228e+03
1.058333118239122683e+01 -2.148332748824751889e+03
1.058296450547116585e+01 -2.371586979617198267e+03
1.058259782855110487e+01 -2.265537161680253575e+03
1.058223115163104389e+01 -2.354604388433750955e+03
1.058186447471098290e+01 -2.627379999535894967e+03
1.058149779779092192e+01 -2.517617082268290687e+03
1.058113112087086094e+01 -2.382279877041210057e+03
1.058076444395079996e+01 -2.042272042092124138e+03
1.058039776703073898e+01 -2.443138199248301589e+03
1.058003109011067799e+01 -2.048193525352978668e+03
1.057966441319061701e+01 -2.611669509816629215e+03
1.057929773627055603e+01 -2.131566379533804138e+03
1.057893105935049505e+01 -3.000709885625235984e+03
1.057856438243043407e+01 -2.890403919506141847e+03
1.057819770551037308e+01 -2.235328218646062851e+03
1.057783102859031210e+01 -2.695988324041961278e+03
1.057746435167025112e+01 -3.196935731100399607e+03
1.057709767475019014e+01 -2.677052437018563069e+03
1.057673099783012916e+01 -3.095889422512106648e+03
1.057636432091006817e+01 -2.545039177759762879e+03
1.057599764399000719e+01 -2.248911361423512062e+03
1.057563096706994621e+01 -2.841011796115571542e+03
1.057526429014988523e+01 -2.610533503835283227e+03
1.057489761322982424e+01 -2.190610815409672341e+03
1.057453093630976326e+01 -2.981774092247857880e+03
1.057416425938970228e+01 -2.113812392104098763e+03
1.057379758246964130e+01 -2.020774490537891324e+03
1.057343090554958032e+01 -2.253427717946095981e+03
1.057306422862951933e+01 -2.082186183060291114e+03
1.057269755170945835e+01 -2.176857119469027111e+03
1.057233087478939737e+01 -2.677792252620117324e+03
1.057196419786933639e+01 -2.272570944436219634e+03
1.057159752094927541e+01 -2.239994853973559657e+03
1.057123084402921442e+01 -2.377389901274304520e+03
1.057086416710915344e+01 -2.381439439298629168e+03
1.057049749018909246e+01 -2.039698188347197629e+03
1.057013081326903148e+01 -2.684135728642309914e+03
1.056976413634897050e+01 -2.334876353892630505e+03
1.056939745942890951e+01 -2.523645400392102601e+03
1.056903078250884853e+01 -2.167750668653854973e+03
1.056866410558878755e+01 -2.404642741625889812e+03
1.056829742866872657e+01 -2.353836800197092998e+03
1.056793075174866559e+01 -2.388768326935035020e+03
1.056756407482860460e+01 -2.709134398508458617e+03
1.056719739790854362e+01 -2.476085265186007291e+03
1.056683072098848264e+01 -2.699421102202400562e+03
1.056646404406842166e+01 -1.599955713355696844e+03
1.056609736714836068e+01 -2.673653678202359515e+03
1.056573069022829969e+01 -2.376565538625069621e+03
1.056536401330823871e+01 -2.197283775235338453e+03
1.056499733638817773e+01 -2.078574996524838753e+03
1.056463065946811675e+01 -2.199776751885432532e+03
1.056426398254805576e+01 -2.429515152624457187e+03
1.056389730562799478e+01 -2.309498568618895661e+03
1.056353062870793380e+01 -2.029624360153216230e+03
1.056316395178787282e+01 -1.985979722086533457e+03
1.056279727486781184e+01 -2.497877458090279106e+03
1.056243059794775085e+01 -2.426470538692031369e+03
1.056206392102768987e+01 -2.228983131148879693e+03
1.056169724410762889e+01 -2.111099825829920064e+03
1.056133056718756791e+01 -2.380790986652697939e+03
1.056096389026750693e+01 -1.844782793432802237e+03
1.056059721334744594e+01 -2.393569234019086707e+03
1.056023053642738496e+01 -2.124238370514351118e+03
1.055986385950732398e+01 -1.543539162595466905e+03
1.055949718258726300e+01 -2.577141458293368487e+03
1.055913050566720202e+01 -2.259621324290968005e+03
1.055876382874714103e+01 -2.307771253571055695e+03
1.055839715182708005e+01 -1.875429321589240317e+03
1.055803047490701907e+01 -2.225452537427315747e+03
1.055766379798695809e+01 -1.928950067985528221e+03
1.055729712106689711e+01 -2.089446532303662025e+03
1.055693044414683612e+01 -2.800603302502607676e+03
1.055656376722677514e+01 -2.394379025599664146e+03
1.055619709030671416e+01 -2.331192475193574410e+03
1.055583041338665318e+01 -1.516932023237589874e+03
1.055546373646659220e+01 -2.504296719555056370e+03
1.055509705954653121e+01 -2.478372841705770952e+03
1.055473038262647023e+01 -2.565398710986075002e+03
1.055436370570640925e+01 -1.929855872945925512e+03
1.055399702878634827e+01 -2.611615071853607787e+03
1.055363035186628728e+01 -2.440151936994345760e+03
1.055326367494622630e+01 -2.747259326720892204e+03
1.055289699802616532e+01 -2.410426697548050925e+03
1.055253032110610434e+01 -2.837555908261753302e+03
1.055216364418604336e+01 -2.556555277763430695e+03
1.055179696726598237e+01 -1.773603662729737380e+03
1.055143029034592139e+01 -1.999377808141608057e+03
1.055106361342586041e+01 -1.946342193552805611e+03
1.055069693650579943e+01 -2.077109957478156502e+03
1.055033025958573845e+01 -2.012696010650121025e+03
1.054996358266567746e+01 -2.121541632448949713e+03
1.054959690574561648e+01 -2.054910794591656213e+03
1.054923022882555550e+01 -2.370770557359275244e+03
1.054886355190549452e+01 -2.178028147027190698e+03
1.054849687498543354e+01 -2.067830951914359957e+03
1.054813019806537255e+01 -2.275415996190487022e+03
1.054776352114531157e+01 -2.704730107852271885e+03
1.054739684422525059e+01 -1.875307953013006681e+03
1.054703016730518961e+01 -2.253640501795448927e+03
1.054666349038512863e+01 -2.295136464261548099e+03
1.054629681346506764e+01 -1.572747854176127021e+03
1.054593013654500666e+01 -1.894881118821047266e+03
1.054556345962494568e+01 -1.532383060258156547e+03
1.054519678270488470e+01 -1.575178559246353643e+03
1.054483010578482371e+01 -2.344355131334793441e+03
1.054446342886476273e+01 -1.571519490902533107e+03
1.054409675194470175e+01 -2.000730328187095211e+03
1.054373007502464077e+01 -2.328084436954948615e+03
1.054336339810457979e+01 -2.427343098740234382e+03
1.054299672118451880e+01 -2.238248263391798446e+03
1.054263004426445782e+01 -1.682005938845253240e+03
1.054226336734439684e+01 -1.801703285793949817e+03
1.054189669042433586e+01 -1.871638742066510076e+03
1.054153001350427488e+01 -2.230562737912732246e+03
1.054116333658421389e+01 -2.260654173148492191e+03
1.054079665966415291e+01 -1.719786496873203532e+03
1.054042998274409193e+01 -1.435804851995689660e+03
1.054006330582403095e+01 -2.134950927197960937e+03
1.053969662890396997e+01 -1.872492661857497751e+03
1.053932995198390898e+01 -2.218055175079944547e+03
